,Borough,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
11,Greenwich,202179.7602,201111.6147,200844.0334,199346.0981,201996.8056,206043.3717,210340.6881,211948.654,212312.1164,212934.3883,212535.9441,214413.9609,217207.2244,220126.8342,219651.6856,222934.4078,225765.2317,227729.7318,229651.4129,232464.7206,236410.0941,238106.9948,238093.0707,238202.2078,238449.8251,239628.6662,239431.9649,241051.4362,239680.2161,240905.4876,233729.2062,229121.4006,223029.226,218605.8758,215387.1817,214613.9643,215205.3881,213422.4081,207864.3545,205268.9865,200543.8796,200256.2561,201148.4551,207186.2004,214017.0113,218571.6135,219851.1974,220536.7865,221333.136,221962.2178,224266.2931,222901.8892,225583.1816,225439.8703,233860.2325,238090.6487,239808.5159,234856.2274,230941.0657,229790.9166,230261.0732,229167.6717,226217.6152,227706.7835,232675.3892,233462.3351,230914.9275,229331.0784,232159.2069,229647.2717,226493.5981,223507.8282,228108.7596,230168.5803,232272.5683,233684.1525,235995.6999,238692.7313,241182.6154,241372.0807,240643.7114,240143.8548,239732.5817,241770.0912,243317.8661,244672.6144,246865.229,246976.7682,249862.9036,248787.0898,251706.3612,254632.802,258940.3185,260391.1394,263671.9907,270966.0476,276452.4436,278804.9627,276156.6402,283713.8113,290617.3061,305404.5835,304855.8114,313801.6214,311768.5638,313948.2323,311782.8366,312910.6856,317461.0072,317091.4812,315068.6064,313538.6579,319770.099,328021.8991,338278.7359,341027.5489,341715.8598,343039.9132,346944.1971,360227.697,365319.393,365733.7977,360460.7272,366842.7335,376365.5602,380772.2331,379563.5484,379423.6189,378395.1666,374524.3836,371158.4764,374293.2414,376667.6322,380158.9473,378680.0853,383770.2994,384705.445,395263.1208,404447.4173,407505.2365,408406.8952,399906.9513,395636.0634,385851.2442,386738.7189,387992.6186,387587.1519,383038.8601,386675.8626,388829.1529,389347.9025,387224.63169,392510.72145,395920.29596,388355.32684,385910.65807,385702.913,391920.6904,385654.5896,381586.241,380293.0935,388251.5205,397827.8924,396857.8503,403729.7053,401558.9893,406344.6302,399620.5048,397510.7908,397388.7817,394446.1488,395916.9692,392506.6466,387217.703,386101.2206,389491.0014,399103.6966,400073.7527,403991.2523,401012.0953,407971.2123,407621.0668,409007.7845,404572.3998,400541.8531,408769.5538,395224.9369,401173.9205,396423.9893,411396.5395,410961.8404,409842.9521,408516.19888,409109.54965,412079.14568,410847.1,420144.0474,427285.2796,430961.151,431426.2747,439786.1058,441866.4254,442411.9364,434539.9917
12,Hackney,238246.2129,240259.9701,239022.7865,241951.1615,244603.8006,252531.7158,255499.5011,261801.3739,264543.8087,267840.9826,267582.5044,265168.9874,267223.9045,270969.5105,276044.2403,276424.7464,281457.2287,282167.8598,291786.3379,301584.8522,313923.9457,312131.5172,309919.8206,301126.582,308202.8901,306799.0115,313344.6015,316182.8076,324344.4921,332090.8675,325064.4918,318928.1075,303298.4036,299579.2512,299302.7232,294108.683,297427.5532,284411.1383,292499.2034,267689.7135,264340.2974,251604.5542,271135.0848,277376.4809,290994.8921,294216.9468,300430.9481,294762.2145,295823.8385,298452.9028,297282.6372,298083.5572,294431.2276,305509.0403,304524.1262,308014.2675,307345.7255,304576.7714,296792.9503,295053.6474,294224.8844,300557.9617,294425.4554,304250.1574,302539.4615,304950.8572,308742.1283,312386.8279,323112.9305,317115.8104,323484.4966,318590.2533,324158.6308,310732.8059,309636.5441,311294.5326,316720.874,321176.1416,324415.9196,333001.8711,337488.8542,334252.6487,340411.2299,342619.7543,350965.0218,352970.7518,355011.4573,357095.6319,358151.7373,362160.5893,368133.1541,379507.7703,394812.7669,392764.8406,397691.7805,402761.3166,415052.7462,423298.4074,433503.2857,440754.7723,452303.6174,460254.8372,469549.6908,480141.0528,481365.5571,483110.3743,466708.1932,470618.7871,469390.515,480167.7955,477175.2113,494044.5257,506157.0441,515432.9994,519468.7484,525032.1188,523695.6899,522113.0801,520051.7283,528858.4367,546501.7706,556674.8802,566460.9423,535302.9317,515687.2369,500430.2566,515654.0186,525754.5109,537761.2254,546368.2903,557601.6697,548758.424,561445.4872,551580.3008,535380.0015,513916.4049,504454.8829,533173.1232,547195.825,572397.6562,575543.8968,574424.8664,561529.4337,557024.8893,551718.9615,553681.9925,533506.7265,529849.9615,540774.9989,552611.065,553833.342,544978.69123,537611.44051,545516.3602,543467.26696,548134.89353,527573.462,532412.0593,554701.4709,570455.933,560534.0617,546343.6011,555778.5255,567269.4703,573269.6528,566979.163,555036.3252,548845.6801,555695.9144,570773.7539,578130.2384,579285.033,576963.9249,571464.3811,584128.3138,584803.5943,607149.738,592287.1855,597591.302,589271.7224,593820.8656,596904.9519,592640.9086,577155.1007,569741.7099,580152.5815,612937.6833,621940.5477,616610.0756,583361.5834,585103.7743,596043.75,623151.46957,635409.81594,628239.16904,604040.7495,596467.5009,615593.8399,634160.9118,648234.6728,649231.7086,648743.1723,646566.5013,630488.2213
13,Hammersmith & Fulham,374796.8968,367483.4503,378032.4328,381057.6683,394582.3813,401933.721,409230.8828,414495.1516,417454.9637,417621.037,412028.6784,402320.2035,407093.2373,422517.6072,443097.8087,454433.5889,460661.6999,470555.9418,485737.9618,502895.0197,512595.5448,519191.7878,510195.7654,500711.2903,487906.8747,494452.0375,500204.2412,486031.6467,484646.9799,478042.7602,485893.1907,487355.2595,474369.5881,456203.9439,427746.8134,436519.804,437667.1286,431608.6135,408518.7634,413984.5464,412345.5195,413659.331,420387.6271,441605.3765,459257.8735,459306.654,459311.0247,467824.8724,484952.5732,490933.3901,486870.7431,488086.906,493877.3667,507768.4743,516558.0201,527536.2475,529332.3056,516386.2912,498874.8729,485906.3329,485393.5789,489559.5361,501661.5212,517488.3835,529409.8546,531488.4131,521990.7125,520571.2398,525123.7871,534269.9141,538787.0465,527140.0938,509471.9911,518104.7187,530216.5531,554481.6603,552495.1209,568853.0865,580568.129,592531.8711,588823.8073,603875.7555,594072.5154,611486.8766,601380.0581,618330.4673,616966.9107,610841.4287,619405.456,608410.625,626507.3853,625932.3114,656484.9692,663807.8353,663612.8597,666669.7471,666571.5738,682453.8405,681088.2916,691361.9484,696569.1738,713338.9555,740943.4615,762631.3146,773678.4873,763041.2682,746423.8209,735096.0963,732363.5819,735010.1525,743178.5064,751604.0772,763256.7849,770977.1916,772831.7653,780423.1473,779596.2282,766033.7499,762768.5094,771959.9507,770697.4229,773192.7234,765504.5818,778279.8332,774019.3993,778275.6074,759728.8852,749874.5628,730645.9187,720857.4565,723129.5098,736962.6961,755420.7352,764386.757,751021.4813,773941.1898,755142.6762,755917.4687,751823.7897,781175.0416,758910.845,750647.9492,741538.7443,742878.3186,724500.8084,711087.2478,728771.3014,710089.943,712342.3958,712978.9415,736863.6941,738218.58218,730652.00965,738746.25027,728693.1147,733359.68488,722045.0931,716796.3589,716606.4475,713757.5911,716331.1173,713137.331,725253.0946,729659.3915,735537.6071,719932.4,704862.3604,714044.3288,722291.3574,737297.7665,717721.0867,698950.5272,680110.6797,718768.3367,748436.6942,758825.1121,752481.0114,732566.3134,745044.1986,728846.8663,717141.4909,702192.6391,717193.1899,739881.2257,738465.0234,736103.489,792436.203,840992.8758,853870.5434,798265.8907,768759.1497,771329.7723,755407.22756,756839.78061,748182.83117,740768.635,744230.691,770295.5865,793868.013,814750.3381,812483.2429,789928.7586,755615.6354,736705.9376
14,Haringey,250587.3228,251056.4586,255332.926,253211.0628,255603.2035,262005.6158,268220.7054,274872.7847,275491.2094,274665.4277,272342.1231,273662.4103,278263.8304,285081.8123,285516.1696,291279.3387,297475.9444,307607.9741,312249.3747,316170.2976,326279.1607,327150.5436,323853.3008,315186.3766,313985.8119,315499.8828,312280.2551,314029.3815,319010.2523,317965.392,312994.2027,295042.4588,288020.3283,284383.5844,288533.619,279007.8282,268212.4366,260548.8243,263608.8092,261855.9564,262327.9444,269458.5596,278181.3896,281291.4627,289255.3142,295331.615,296040.6001,288455.751,295080.1857,301399.93,307801.9527,304765.5741,310895.3611,317731.15,322826.8983,322198.2391,326052.6445,321629.7934,324934.4266,318441.9694,316021.1522,321504.2534,320710.6729,328043.4659,319847.1534,323513.5018,331928.626,342020.7768,344757.2997,330990.3366,320976.4323,317306.4249,319503.1553,323169.786,325927.554,331233.1498,337371.2148,342146.1907,343104.3051,347970.1201,352263.7099,353667.0469,350271.6206,349603.1,351746.1325,355898.6404,360945.6336,360083.7885,362274.7804,351241.5429,364191.5312,374890.9661,398046.4295,399199.1526,398220.8419,390063.4397,402645.5793,400241.5672,404694.6353,402451.3241,420345.7749,436432.428,447312.6317,456498.7901,465220.2214,470302.3968,464234.6424,459312.8574,455942.165,452703.1508,448990.9834,454499.3342,461901.9251,468982.2433,473658.6701,488665.055,508005.9895,514513.9553,521417.7687,518351.7566,519382.6558,512198.0501,510397.4127,511922.323,524867.6002,530877.5209,541365.5021,531544.222,541345.7042,537787.1094,535334.1854,535097.0468,551094.6066,567199.528,558971.07,545403.6564,548123.5115,559881.9399,568447.6323,568649.2103,567472.9012,558082.6333,544696.1724,549659.8181,548501.7179,558119.7978,549346.2449,555448.6407,550406.1944,547413.4229,555990.5283,555530.58119,560578.17685,547443.77828,545112.19049,544836.45441,545523.9026,544944.9653,536737.0619,529601.1438,541876.8241,540625.7211,550392.6408,544193.7543,553639.841,554122.7305,554981.0604,556925.0535,553228.692,540883.2623,543928.9841,544721.6861,549864.7104,546375.636,547777.8493,565432.092,570180.4805,587338.9937,581958.1356,584144.363,590703.8252,582739.4053,575885.2815,557785.2877,557673.461,561603.6272,558466.6372,576346.3103,582329.6669,594597.3524,585386.9697,576527.5712,586899.22701,588819.01809,589680.00153,577742.3161,580335.0234,581729.032,588636.2776,595596.9187,613796.0825,611684.3127,615064.0375,605750.5633
15,Harrow,253828.9609,255883.1468,258051.7459,259436.1388,262515.1668,263326.6863,264667.5257,266524.5757,271094.104,275403.2491,276450.3285,278193.9357,280501.2177,282077.2837,281472.9846,285296.6199,288254.8455,292147.7333,292859.6737,297848.5416,303734.3335,305422.7858,307270.5342,305017.8321,305836.6027,304969.5411,304807.1314,307940.8673,306895.5044,303929.7311,298900.4695,293193.1803,288109.7515,283282.4914,271283.5079,266651.8901,260775.0245,262042.1096,258324.5406,253662.2354,253717.4003,254538.6549,258643.7512,265097.8865,271562.7154,271793.1931,271764.6579,274510.9969,279518.7321,281608.5842,285075.7754,288143.6791,291560.4744,290749.1828,294286.6044,296892.1709,298264.8946,300140.28,298913.352,300838.771,296316.8734,297449.9317,295633.8207,297675.7645,294992.5526,295227.8046,292703.5877,294175.2982,295736.3054,297762.7609,300744.686,299313.328,299885.483,298115.3982,295844.4337,298045.8993,296495.3902,304640.1947,303114.4175,310416.7641,310984.4064,317281.8295,313279.7879,310751.56,306539.4585,309376.0789,310967.1677,310669.3478,312443.5151,315395.9146,321904.0723,324905.6203,326112.9786,327432.3549,330422.3449,336603.6065,338589.7583,338069.7692,339746.5437,345557.6886,352323.8356,355957.8038,361408.2589,365767.1458,374181.4646,379166.3193,386887.3127,391893.7907,390704.5557,390584.7763,387555.1052,393543.5189,396812.3743,401894.9353,406671.5447,418115.3048,424055.8128,428841.7117,428609.7024,435863.7983,437028.4377,444319.0467,447037.8699,451488.1609,451185.6207,449361.8748,454259.881,461109.2905,461613.8916,465171.772,459734.5973,464037.2626,457831.7745,465420.1927,466479.2934,476522.2794,474677.771,473768.6514,466812.1456,467852.5647,470769.258,479341.0864,475680.829,474005.2214,473778.4589,474510.2079,472442.622,465390.5856,462891.1595,465051.4564,464940.6285,464558.30317,461837.91364,464761.93769,458448.7341,462277.55163,453365.4908,454375.2032,445148.1895,446824.9526,443287.9049,447719.3861,446095.264,450373.4248,453155.2371,453783.398,450924.3205,447112.5388,447343.8296,450392.9773,450484.3411,451481.58,445417.0141,441942.1538,445805.319,452524.2946,454162.7856,457571.9533,468407.223,474609.0823,474489.7474,481157.3629,485775.9622,489447.1047,486798.1422,486106.2704,480828.9689,480739.3936,485800.3837,487895.5271,492343.6055,499745.5308,502193.01051,509841.35459,502840.74675,497081.7617,501321.2677,513243.7447,528770.6002,532011.3474,532373.7963,527221.9178,528128.3734,531173.9871
16,Havering,202615.8216,204845.7052,206050.4598,208975.9502,208243.493,209471.4584,211742.338,215135.2935,216487.8347,217622.7405,216896.8558,217711.1701,217920.2713,220412.5042,224500.7762,228041.6151,233262.0657,235652.913,238054.4491,237395.3803,239620.4346,241226.1961,242628.2058,243703.8766,244746.8915,243974.6809,242484.7519,240461.2489,239332.4783,236180.78,232706.2602,231032.5832,227511.3423,220570.7804,212369.9902,206313.0649,204414.084,204014.6095,207166.177,205530.2407,202964.2248,199836.0499,203053.4011,205729.775,207181.4409,208242.8067,210964.2356,212448.7901,212880.9463,216413.802,216815.262,217821.1347,218541.8182,219910.3266,223319.8908,224713.4135,224775.5912,225580.1218,222619.9729,221566.798,217997.0519,215922.0504,215325.103,216085.3371,219336.8593,221986.1356,223090.9976,219434.7645,218947.053,220225.6353,223034.5036,223319.6865,220724.4799,220202.2566,220041.3548,219154.2266,219793.5609,220176.9507,222616.1015,221084.2726,222991.8552,223245.3443,225450.8198,223743.4385,220136.3277,220162.3743,220310.8335,222966.5709,225170.1155,224957.7403,227202.8338,226306.1658,228984.8856,231248.3076,233488.7389,236210.9105,238219.84,241908.1363,245103.4222,250367.752,254227.6993,257605.5729,260947.5735,266686.1567,270886.3203,273961.9521,274137.4351,277155.4191,277717.0124,279585.0757,280770.7656,280777.8332,283068.1201,284546.9594,291467.2655,294484.4631,299875.0531,304680.8541,310576.595,314587.8322,317748.6392,323930.0364,331305.2151,333585.2573,337017.7777,339384.0298,347875.3508,350705.5358,356744.4798,355899.5866,356721.1729,350729.6442,352068.6962,354491.7208,357490.8452,354342.3314,351822.02,354891.7353,363883.674,367634.6678,369568.3463,367189.0253,366433.6734,365934.1699,363913.7037,365633.5387,365566.9292,369069.5358,370667.4937,371657.5452,373762.2815,373002.22173,373027.84376,372730.73796,371658.67157,372294.50642,367018.9841,364615.1018,359738.3791,358876.943,361268.857,365336.0161,367679.0664,367502.2747,366447.1575,367101.7811,365246.4908,364994.8361,360851.1393,363718.0272,365417.846,369484.86,367939.8141,371147.6294,373192.0561,375067.0321,373311.9564,372049.7335,373926.8562,378206.3802,380518.1868,384364.9386,384527.5272,385228.2132,386164.3429,387167.023,387842.3072,390817.5566,397720.3525,399975.3225,403195.8405,402471.4542,404948.36507,405146.70726,407003.67181,414070.8049,418595.0333,419527.8059,420126.3086,421781.4641,427622.6528,429112.5986,435278.0519,438011.3117
17,Hillingdon,225769.7371,225182.6936,227319.1042,226107.9628,228713.3527,229687.805,233733.6477,234559.5675,236146.5556,234735.4443,236037.0736,238867.8197,241030.373,243109.9167,243651.2107,247037.5488,250417.8072,253128.4709,257856.966,259959.2936,260670.0843,260233.283,263276.4256,265692.5441,266872.527,264530.3291,263023.6324,259770.7217,258195.1713,258128.4958,257672.4598,254270.7101,251644.6632,247077.151,246224.2828,239553.3155,233126.4202,223915.9993,219678.689,218721.5891,221725.5383,222638.0543,224728.4215,227082.5294,231533.1126,236110.3261,238530.7166,241518.1303,240247.8046,240016.311,239574.8445,244121.5007,245413.1513,249688.8942,250974.3048,253690.0205,255745.5891,253762.9504,253605.8396,249057.105,250781.2776,251481.7724,252504.2127,251264.6174,250059.6718,248749.8758,249619.671,250786.4027,251566.3344,253519.6096,253903.3813,257143.133,254452.6904,256004.9613,252970.0163,254684.8409,256015.8657,258456.2968,261570.1175,262452.9302,265773.0962,268132.8367,268474.6956,266728.8166,265335.5772,262471.4864,261560.6846,263019.1253,268039.9822,271751.4764,272368.692,271614.5104,273028.9563,276683.4739,278966.7521,282296.4287,282891.8242,286928.4961,287161.5087,291282.4468,300059.9529,307903.4583,313332.0838,315051.2349,318436.6628,320560.478,321913.6739,323861.5508,330607.1132,335058.3654,338726.1434,339858.39,342641.2783,345461.8133,348921.7016,357136.5115,364788.6141,373029.5416,376566.1248,380184.5467,384181.4273,390840.0268,393896.7005,394461.5368,397011.9369,401761.2195,407913.2137,407473.3427,405837.9419,406858.7429,407782.3442,411479.4034,410397.3078,414500.0502,413466.1343,411932.8075,409103.9719,410610.4071,415979.626,414569.7236,419451.6107,418374.542,415389.6503,409262.7425,404924.8429,407208.0401,406258.575,408618.1947,411590.7639,415959.9033,416300.2936,414743.4778,410924.11868,408509.88257,407232.41612,410922.43945,413405.0796,413658.0973,409663.0356,404953.3298,401052.9345,395982.4275,398547.4882,397385.2302,403944.6276,403300.2883,407117.086,404318.708,405029.749,404051.1448,409234.3119,403517.4452,407142.0724,403039.4927,408572.9547,410160.5501,410313.6412,414765.25,415694.6426,426361.8057,427090.177,427816.5742,425447.7916,426391.3465,424419.4067,426840.2414,427569.5221,431996.8407,435107.8559,439219.3602,442988.7614,440275.7327,437530.50603,439505.1449,445042.5664,444985.4369,447153.7654,451908.7336,457321.2179,461129.528,466519.6563,472123.2944,474340.3764,468099.7016
18,Hounslow,226228.6098,229421.8202,231388.4244,233697.8897,235850.4847,238416.6561,237016.7863,239945.718,242958.5743,245178.6288,243648.8115,240781.1139,242750.2226,245807.2719,250858.4048,250972.1228,254343.6762,254536.0175,263444.7577,267986.8842,273453.4153,274298.6493,271776.7195,272510.3322,272960.0959,272481.9039,271908.697,268103.0045,273949.3813,272923.2042,270125.59,262571.3014,257275.5998,253428.711,242429.8739,237188.5836,234463.8896,234540.1523,228489.6475,224854.9293,225353.5858,229194.75,234915.4909,242600.1114,245611.6017,245170.8722,243703.7431,246012.3477,250674.7766,253148.6206,254111.6219,252274.2938,252846.813,253417.7568,260723.7884,264626.9452,271362.0029,262230.9376,258705.9482,255270.4479,258297.828,261281.6816,264642.3819,266788.5768,267342.6717,264468.6237,265635.1315,268775.5367,269440.9479,268203.6842,261369.5025,259015.1188,257406.2938,260827.631,257915.2384,260539.7119,262525.1703,267724.8606,272301.0974,273857.9573,276541.8883,276190.8418,275007.5726,274659.2816,272498.1196,270716.9318,278596.4844,286085.5245,293606.1205,290397.6297,291505.3795,296701.0405,300388.3361,303708.5165,301045.7839,301677.6076,302920.1346,303205.767,306568.8208,304118.9063,309376.6946,313803.072,331298.3357,341611.4653,347664.2764,346245.8313,345726.6763,341770.2641,335139.7533,329890.4346,335899.6108,339849.4833,347485.2458,349265.1715,354912.452,358655.0071,365748.909,364874.5333,366733.9608,368802.3285,375818.4093,376990.9994,382232.2923,383043.2171,392697.2766,388954.5968,395610.8316,398008.0826,388795.6349,384390.9191,379541.9879,391460.2201,399157.3596,400436.9371,410459.3154,410358.113,404888.6679,395163.3212,394568.1119,402392.6427,397359.5869,397338.8595,394683.0891,404048.3997,402928.0251,401662.4527,393946.1335,387621.1335,390499.2242,399964.6001,404184.2172,396289.91037,388292.43276,392468.43925,400685.06706,401032.52171,397052.1735,390471.1003,393244.8678,394788.368,396766.6707,399686.7903,397246.2003,401911.2435,406930.3564,413132.2719,409668.343,411967.6971,411488.3108,411302.5567,409443.5913,401333.9674,396578.4851,394693.4323,394813.4581,407761.4209,418843.3232,422508.2338,429110.8779,425582.459,429045.4559,422386.3801,425666.4536,430286.2277,423682.1925,425951.8238,413785.0328,420271.4771,418441.6242,427883.5894,428335.0914,429913.5775,424943.35025,426443.48609,422763.39101,424715.7685,429049.856,443933.306,450033.8146,453968.2052,458646.7205,459675.6766,462966.896,455173.4848
19,Islington,294169.8012,303689.4149,310486.2979,318786.1404,323468.6735,324998.9034,318534.5513,322124.6083,326006.8358,336426.971,327602.4593,329442.8045,333999.0598,349878.4803,354271.5822,359538.9322,369616.2177,390211.3541,399124.1868,411567.115,415462.9891,419154.9586,412008.8162,413153.2418,408031.3745,407775.7975,402112.8564,402948.002,399480.0713,391880.5187,394993.5477,384845.9898,385328.4637,368258.9807,354035.9157,341816.9059,329223.6017,332313.7229,326811.3537,331763.3674,328388.7575,331470.3224,339509.1831,355363.394,368898.9723,371504.0193,367154.2965,361012.2308,368461.1135,382429.2365,389435.6392,393891.7992,393357.1739,400083.338,403079.6719,405537.4055,412468.0482,407174.2472,412746.3991,407998.3224,416960.0536,408596.4506,411200.5229,428174.7999,424731.7876,425165.977,417267.7469,431157.2054,439120.4551,431861.4547,429756.2671,425252.7682,428084.0105,433723.1722,435820.3903,440524.782,453351.217,454417.2472,435076.5161,423992.9252,429895.9985,446415.9565,461721.8668,462058.7356,477204.8534,467113.3613,473634.6854,475031.2894,479123.3683,485856.3441,491033.8065,505020.788,510599.6721,515580.5946,529149.584,539845.6991,548118.5877,551565.4999,557871.9479,558630.4973,570687.9879,581266.6683,599522.5997,610837.0785,620725.38,616688.7544,601114.6811,605026.047,616321.9698,636241.782,630006.3595,641171.844,644322.3727,651604.0047,646180.3904,646005.4546,657610.3755,656969.6333,652896.0292,638444.6521,638495.7846,628362.4388,646021.4249,640533.9962,645784.2818,632660.2882,648906.9652,657819.4642,647013.7336,634621.4766,637572.6514,647853.4266,639571.2572,622393.2512,621583.3881,638976.9817,659547.8924,665436.738,667846.9774,673654.9738,670683.3269,657948.5329,644361.5471,639370.6836,652264.2346,646990.8613,651932.8772,637411.5084,651022.6344,655134.3885,677797.7384,667866.37236,660512.14993,634942.98206,636823.03867,625190.02458,635328.0826,627072.2867,628267.9748,620328.3023,626491.8343,625315.322,629281.0539,643334.6721,655061.216,645211.9178,627326.4898,640978.9678,665892.9376,668882.7618,651931.9289,642190.4341,630653.3712,641491.7384,656970.6723,678740.7757,691113.9478,687446.0824,676686.8532,661169.9422,670706.5547,680188.1069,685817.8266,667755.3995,661614.752,658974.299,680553.9246,700010.3511,704566.9586,718091.1632,723061.3527,732284.1628,699842.72167,692737.20502,702732.86058,720473.0946,727658.6627,710524.9261,704737.9709,718132.8534,733455.5508,730469.2211,715815.9984,704215.1128
20,Kensington & Chelsea,565247.3923,569195.0987,570415.3131,581164.2048,590767.7907,599840.685,606796.4276,609828.6306,603461.6477,604626.403,630205.8574,644540.8433,682117.927,695308.0185,712066.0587,718861.507,718508.6415,723632.7498,746126.6811,779957.4308,830949.607,808270.0,777268.4582,767082.896,810780.5012,832753.4931,808428.892,762672.8351,760593.2059,766471.7302,822508.3855,806857.3773,811950.1126,754939.3765,754636.207,725423.7547,668545.6578,627150.0865,598429.7577,622563.3082,664598.0576,719453.1675,770239.9916,782458.5784,763329.9844,736741.4037,753693.011,755047.38,794620.3953,778621.763,820954.2966,818815.5849,855775.3078,821510.291,845613.6715,826389.7859,863878.116,859065.1652,877861.4668,884673.5663,860460.353,844013.6824,879557.4822,959519.8775,939202.3548,911739.5309,877358.0068,912818.7004,931099.4029,916676.0708,950766.8551,919568.7744,929644.264,933654.0969,941250.7138,970715.4337,974635.038,1030803.145,1032875.348,1042777.304,1058205.995,1077366.273,1071777.712,1044834.094,1067549.838,1060809.98,1076418.527,1043140.855,1086592.794,1122471.237,1159558.644,1189245.346,1217728.812,1172513.647,1168769.847,1154072.871,1204770.976,1198222.359,1209577.9,1231111.466,1263467.702,1297755.065,1345615.624,1347029.885,1344464.062,1334423.087,1365050.375,1319379.526,1313356.774,1287616.413,1306556.652,1291645.45,1306191.745,1293028.207,1328276.138,1316115.896,1353678.564,1268779.808,1295077.7,1264909.351,1335350.548,1294602.595,1319174.018,1303324.298,1282707.874,1246351.504,1229599.009,1206813.473,1226681.28,1217675.95,1295309.996,1357230.704,1394421.454,1412254.749,1380049.475,1399838.629,1388174.256,1341276.257,1304185.839,1257577.663,1270089.545,1278113.215,1344311.198,1364184.503,1463377.921,1378877.962,1392610.254,1325081.124,1301729.431,1306556.017,1334875.947,1418032.2911,1388037.2524,1348120.8438,1363457.867,1345804.5449,1285330.7,1259857.8,1218616.659,1264888.871,1233812.291,1291763.476,1275437.229,1248525.496,1230181.192,1190436.646,1171530.405,1226692.524,1250473.365,1319105.745,1344119.853,1366507.988,1353405.021,1300968.375,1321046.625,1344349.768,1347732.643,1302911.837,1315400.118,1350334.637,1327342.618,1251354.26,1206533.728,1194465.252,1227586.842,1213702.866,1325087.896,1392061.692,1448425.99,1449090.699,1431683.69,1394456.891,1385395.9949,1390908.7699,1464776.9814,1514309.855,1516334.307,1514043.892,1506003.186,1516617.687,1517928.253,1404254.051,1374633.987,1310954.151
