,Year,Day,Month,Rates
337,1889,16,Feb,2.5
338,1889,15,Mar,2.0
339,1889,10,May,3.0
340,1889,7,June,2.5
341,1889,9,Aug,3.0
342,1889,13,Sep,4.0
343,1889,4,Oct,5.0
344,1889,10,Jan,4.0
345,1890,24,Jan,3.5
346,1890,31,Jan,3.0
347,1890,18,Apr,2.5
348,1890,8,Aug,3.0
349,1890,29,Aug,4.0
350,1890,26,Sep,5.0
351,1890,30,Dec,6.0
352,1890,20,Fen,5.0
353,1891,6,Mar,4.5
354,1891,13,Mar,4.0
355,1891,10,Apr,3.5
356,1891,17,Apr,3.0
357,1891,26,Jun,4.0
358,1891,31,Jul,5.0
359,1891,21,Aug,4.0
360,1891,25,Sep,5.0
361,1891,7,Nov,6.0
362,1891,4,Dec,5.0
363,1891,8,Jan,4.0
364,1892,22,Jan,3.5
365,1892,29,Jan,3.0
366,1892,16,Apr,3.5
367,1892,7,May,4.0
368,1892,14,May,5.0
369,1892,4,Jun,4.0
370,1892,18,Jun,3.0
371,1892,2,Jul,2.5
372,1892,24,Sep,3.0
373,1892,29,Oct,4.0
374,1892,10,Dec,3.5
375,1892,21,Jan,3.0
376,1893,7,Apr,2.5
377,1893,28,Apr,2.0
378,1893,20,Oct,3.0
379,1893,26,Jan,2.5
380,1894,4,May,3.0
381,1894,11,May,3.5
382,1894,18,May,4.0
383,1894,8,Jun,3.0
384,1894,15,Jun,2.5
385,1894,3,Aug,3.0
386,1894,10,Aug,4.0
387,1894,24,Aug,5.0
388,1894,14,Sep,4.0
389,1894,21,Sep,3.5
390,1894,5,Oct,3.0
391,1894,1,Feb,2.5
392,1896,22,Feb,2.0
393,1896,10,Sep,2.5
394,1897,24,Sep,3.0
395,1897,22,Oct,4.0
396,1897,21,Jan,3.5
397,1898,4,Feb,3.0
398,1898,8,Apr,2.5
399,1898,13,May,2.0
400,1898,23,Sep,2.5
401,1898,14,Oct,3.0
402,1898,6,Apr,4.0
403,1899,25,May,3.5
404,1899,2,Jun,3.0
405,1899,30,Jun,2.5
406,1899,22,Sep,3.0
407,1899,13,Oct,4.0
408,1899,19,Jan,3.5
409,1900,2,Feb,3.0
410,1900,13,Jul,3.5
411,1900,3,Oct,4.5
412,1900,5,Oct,5.0
413,1900,30,Nov,6.0
414,1900,11,Jan,5.0
415,1901,18,Jan,4.5
416,1901,25,Jan,4.0
417,1901,24,May,3.5
418,1901,14,Jun,3.0
419,1901,19,Jul,4.0
420,1901,3,Jan,5.0
421,1902,7,Feb,4.5
422,1902,21,Feb,4.0
423,1902,6,Jun,3.5
424,1902,13,Jun,3.0
425,1902,21,Oct,4.0
426,1902,23,Jan,3.5
427,1903,6,Feb,3.0
428,1903,2,Oct,4.0
429,1903,21,May,3.5
430,1904,18,Jun,3.0
431,1904,3,Sep,4.0
432,1904,14,Apr,3.5
433,1905,21,Apr,3.0
434,1905,9,Mar,2.5
435,1906,7,Sep,3.0
436,1906,28,Sep,4.0
437,1906,5,Apr,3.5
438,1907,3,May,4.0
439,1907,21,Jun,3.5
440,1907,13,Sep,4.0
441,1907,11,Oct,5.0
442,1907,19,Oct,6.0
443,1907,17,Jan,5.0
444,1908,11,Apr,4.5
445,1908,25,Apr,4.0
446,1908,15,Aug,4.5
447,1908,31,Oct,5.5
448,1908,4,Nov,6.0
449,1908,7,Nov,7.0
450,1908,2,Jan,6.0
451,1909,16,Jan,5.0
452,1909,23,Jan,4.0
453,1909,5,Mar,3.5
454,1909,19,Mar,3.0
455,1909,28,May,2.5
456,1909,14,Jan,3.0
457,1910,1,Apr,2.5
458,1910,7,Oct,3.0
459,1910,14,Oct,4.0
460,1910,21,Oct,5.0
461,1910,9,Dec,4.5
462,1910,6,Jan,4.0
463,1911,20,Jan,3.5
464,1911,10,Feb,3.0
465,1911,17,Mar,4.0
466,1911,2,Jun,3.5
467,1911,9,Jun,3.0
468,1911,29,Sep,4.0
469,1911,20,Oct,5.0
470,1911,1,Dec,4.5
471,1911,26,Jan,4.0
472,1912,16,Feb,3.5
473,1912,9,Mar,3.0
474,1912,21,Sep,4.0
475,1912,8,Feb,3.5
476,1913,9,May,3.0
477,1913,29,Aug,4.0
478,1913,17,Oct,5.0
479,1913,17,Apr,4.5
480,1914,1,Oct,5.0
481,1914,8,Jan,4.5
482,1915,22,Jan,4.0
483,1915,29,Jan,3.0
484,1915,30,Jul,4.0
485,1915,31,Jul,8.0
486,1915,1,Aug,10.0
487,1915,6,Aug,6.0
488,1915,8,Aug,5.0
489,1916,13,July,6.0
490,1917,18,Jan,5.5
491,1918,5,Apr,5.0
492,1919,6,Nov,6.0
493,1920,15,Apr,7.0
494,1921,28,Apr,6.5
495,1922,23,Jun,6.0
496,1922,21,Jul,5.5
497,1922,3,Nov,5.0
498,1922,16,Feb,4.5
499,1923,13,Apr,4.0
500,1923,15,Jun,3.5
501,1923,13,Jul,3.0
502,1923,5,Jul,4.0
503,1925,5,Mar,5.0
504,1926,6,Aug,4.5
505,1926,1,Oct,4.0
506,1926,3,Dec,5.0
507,1927,21,Apr,4.5
508,1929,7,Feb,5.5
509,1930,26,Sep,6.5
510,1930,31,Oct,6.0
511,1930,21,Nov,5.5
512,1930,12,Dec,5.0
513,1930,6,Feb ,4.5
514,1931,6,Mar,4.0
515,1931,20,Mar,3.5
516,1931,1,May,3.0
517,1931,14,May,2.5
518,1932,23,Jul,3.5
519,1932,30,Jul,4.5
520,1932,21,Sep,6.0
521,1932,18,Feb,5.0
522,1939,24,Aug,4.0
523,1951,8,Nov,2.5
524,1952,11,Mar,4.0
525,1953,17,Sep,3.5
526,1954,13,May,3.0
527,1955,27,Jan,3.5
528,1956,24,Feb,4.5
529,1956,16,Feb,5.5
530,1957,7,Feb,5.0
531,1958,19,Sep,7.0
532,1958,20,Mar,6.0
533,1959,22,May,5.5
534,1959,19,Jun,5.0
535,1959,14,Aug,4.5
536,1959,20,Nov,4.0
537,1960,21,Jan,5.0
538,1961,23,Jun,6.0
539,1961,27,Oct,5.5
540,1961,8,Dec,5.0
541,1961,26,Jul,7.0
542,1962,5,Oct,6.5
543,1962,2,Nov,6.0
544,1962,8,Mar,5.5
545,1963,22,Mar,5.0
546,1963,26,Apr,4.5
547,1963,3,Jan,4.0
548,1964,27,Feb,5.0
549,1965,23,Nov,7.0
550,1965,3,Jun,6.0
551,1966,14,Jul,7.0
552,1967,26,Jan,6.5
553,1968,16,Mar,6.0
554,1968,4,May,5.5
555,1968,19,Oct,6.0
556,1968,9,Nov,6.5
557,1968,18,Nov,8.0
558,1968,21,Mar,7.5
559,1969,19,Sep,7.0
560,1969,27,Feb,8.0
561,1970,5,Mar,7.5
562,1971,15,Apr,7.0
563,1971,1,Apr,6.0
564,1972,2,Sep,5.0
565,1972,22,Jun,6.0
566,1972,16,Oct,7.25
567,1973,30,Oct,7.5
568,1973,4,Dec,7.75
569,1973,11,Dec,8.0
570,1973,27,Dec,9.0
571,1973,22,Jan,8.75
572,1974,26,Mar,8.5
573,1974,16,Apr,8.0
574,1974,24,Apr,8.25
575,1974,14,May,8.0
576,1974,21,May,7.75
577,1974,25,Jun,7.5
578,1974,23,Jul,9.0
579,1974,30,Jul,11.5
580,1974,22,Oct,11.25
581,1974,13,Nov,13.0
582,1974,7,Jan,12.75
583,1975,4,Feb,12.5
584,1975,8,Apr,12.25
585,1975,16,Apr,12.0
586,1975,28,May,11.75
587,1975,23,Sep,11.5
588,1975,20,Jan,11.25
589,1976,27,Jan,11.0
590,1976,10,Feb,10.75
591,1976,17,Feb,10.5
592,1976,10,Mar,10.25
593,1976,24,Mar,10.0
594,1976,21,Apr,9.75
595,1976,5,May,10.0
596,1976,28,Jul,11.0
597,1976,6,Oct,12.0
598,1976,17,Nov,11.75
599,1976,1,Dec,11.5
